,Unnamed: 0,RecipeName,Ingredients,Course,Instructions
0,0,Hù Tiéu,"['dry rice noodles medium size', 'Hù Tiéu soup base', 'ground pork', 'birds eye chili chopped', 'green onions chopped', 'Vietnamese ham']",Breakfast,"['Cook rice noodles according to package instructions.', 'Sauté ground pork with green onion, chili, and a little salt. Set aside.', 'Slice Vietnamese ham and fry until golden brown on each side. Set aside.', 'Cook soup base accourding to package instructions.', 'To assemble, add your noodles to the bottom of a wide bowl. Layer in your desired toppings. Spoon broth over everything and enjoy warm.']"
1,1,Hù Tiéu,"['dry rice noodles medium size', 'Hù Tiéu soup base', 'ground pork', 'birds eye chili chopped', 'green onions chopped', 'Vietnamese ham']",Breakfast,"['Cook rice noodles according to package instructions.', 'Sauté ground pork with green onion, chili, and a little salt. Set aside.', 'Slice Vietnamese ham and fry until golden brown on each side. Set aside.', 'Cook soup base accourding to package instructions.', 'To assemble, add your noodles to the bottom of a wide bowl. Layer in your desired toppings. Spoon broth over everything and enjoy warm.']"
2,2,Donzelle,"['500 g 00 flour', '1 Tbsp sugar', '1 Tbsp salt', '25 g fresh yeast', '2 Tbsp olive oil', '300 ml water', 'neutral oil for frying', 'fleur de sel for finishing']",Snack,"['Place the flour into the bowl of a food mixer. Add the salt and sugar on one side of the bowl and crumble the yeast on the other side.', 'Add the olive oil and mix on a low setting using a dough hook. Slowly add the water until the mixture comes together. Continue to mix for a further 5 minutes.', 'Alternatively, place all of the ingredients in a mixing bowl, bring together with your hands and knead for about 10 minutes', 'Shape the dough into a ball (you may need to grease your hands with olive oil as it will be quite sticky) and grease a large bowl with olive oil. Place the dough in the bowl, cover the bowl with a damp tea towel and leave to rise until the dough has doubled in size, about 1 1/2 hours.', 'When the dough has risen, knock the air out of it then form it into a ball. Sprinkle some flour over the top, cover with a tea towel and leave to rise again for about 30 minutes.', 'Place the dough on a floured board and roll out until about ½cm thick. Using a pastry wheel, cut into rectangles about 5cm by 2½ cm.', 'Preheat the oil in a large saucepan or deep fryer to 180°C', 'Carefully drop the donzelle into the fryer and cook for about 5 minutes, or until puffed and lightly browned. Remove with a slotted spoon and drain on kitchen paper. Sprinkle with a little fleur de sel.', 'Serve warm with Italian cheese and salami, and perhaps a nice glass of Chianti or other Tuscan wine.']"
3,3,Albaloo Polo,"['2 cups Basmati Rice', '2 tbsp Salt', '1/8 tsp Saffron mixed with 1 tbsp water']",Dinner,"['Place the sour cherries in a saucepan, add sugar and cook on medium-low heat uncovered for 15 minutes. You will want all the juices!', 'Cook rice per package instructions but stop after around 8 minutes.', 'Add the saffron mixture', 'Begin by layering a 1/3 of the partially cooked rice and a 1/3 of sour cherries into the pot and repeat until all of the rice and cherries have been layered in the pot.', 'Wrap the lid with a clean towel and place on top of the pot. Allow the rice to steam over a medium-low to medium heat for about 45 minutes.', 'For the meatballs, mix everything and roll meatballs into malls slightly larger than a cherry.', 'Heat a large frying pan with oil and cook the meatballs until they are fully cooked and crispy. Typically about 10 minutes.', 'Add the reserved cherry syrup to the pan and swirl around for the syrup to be better mixed and coating the meatballs.', 'Remove the rice from the pan and place on a serving platter. Arrange the meatballs on the serving platter and garnish with pistachios and almonds.']"
4,4,Batatinha em Conserva,"['1 can cooked baby potatoes', '1 small onion minced', '½ red bell pepper minced', '1-2 cloves garlic minced', '1 green or red chili', '½ cup fresh parsley minced', '1 Tbsp dried oregano', '½ Tbsp black peppercorns', '½ Tbsp salt', '½ tsp red chili flakes', '1 part olive oil', '3 parts vinegar of your choice']",Snack,"['Drain and rinse canned potatoes. Set aside.', 'On a skillet on medium high heat, add a little olive oil, when hot, add the onions, let them sweat, then add the red bell peppers, sauté for a few minutes, don’t let them brown.', 'Add the garlic, sauté for 40 seconds, then add dried oregano, chili flakes, black pepper, salt, black pepper corns, fresh parsley and the green chilies.', 'Sauté for a few seconds, cover so the residual heat cook the herbs. Toss potatoes in the mix.', 'Add the sautéed vegetables to a bowl, and add 1 part olive oil to 3 parts vinegar.', 'Add potatoes to a sterilized jar, if it’s not enough, complete the jars with vinegar and some extra salt. The potatoes must be completely submerged in the brine.', 'Wipe any brine from the jar rims, close them and store them in a dark cool place for a week, then you can open the jar and enjoy the potatoes. Once jar is opened, keep it in the fridge, the potatoes will last for up until a month.']"
5,5,Macarrão Misturado,"['200 g milk', '1 Tbsp butter', '1 Tbsp flour', '2 Tbsp Catupiry cheese or cream cheese', 'salt, pepper, nutmeg to taste']",Dinner,"['In a pan, melt the butter and slowly add the flour, stirring constantly, to make a roux.', 'Add the milk slowly while stirring the roux.', 'Let it cook until it thickens, but it must be still runny.', 'Add salt, black pepper and nutmeg to taste.', 'Turn of the heat and add the Catupiry, mix well to incorporate.']"
6,6,Macarrones con Jamonilla,"['1 box Elbow Macaroni', '1/2 Medium Onion Diced', '1/2 Cup Bell Peppers Diced', '1 tbsp Garlic Pasta', '1 can Spam Cubed', '1-2 Bay Leaves', 'Chopped Cilantro', '8 oz Spanish style tomato sauce (ex. Goya) or 4oz tomato paste', '1/4 cup White Wine', '4-5 Pimento Green Olives Sliced', '1 Packet of Puerto Rican ""sazon,']","Dinner, Lunch","['Cook your spam and then sautee veggies over medium heat in hot oil until soft.', 'Add sauce and spices. Sautee a couple of minutes, then add wine.', 'Add the olives and season to taste.', 'Cook your pasta', 'Mix in the cooked pasta and let it simmer for 2-3 more minutes.', 'Enjoy alone or with a side of white rice!']"
7,7,Prženi Kupus sa Kobasicama,"['1 kg jar pickled cabbage not red', '4 Tbsp tomato puree', '1 onion finely chopped', 'suho meso slices (smoked cured beef) to taste', 'Vegeta (Balkan seasoning) to taste', 'kransky (or similar) sausages', 'crusty bread for serving']","Dinner, Lunch","['Sautee the onion in oil (in the pot that will go in the oven), add sausages whole to brown a bit.', 'Once onion is cooked, remove sausages and add in tomato paste, cabbage, seasoning and mix.', 'Add sausages back on top with water (enough to just cover the cabbage but be able to evaporate in 40ish min).', 'Cover and bake in the oven on 350°F for 30-40 min.', 'Uncover once cabbage has cooked and bake to brown a bit.', 'Enjoy with bread on the side!']"
8,8,Caffè Pedrocchi,"['Espresso', 'Mint syrup', 'Heavy Cream', 'Cocoa powder for dusting']",Drink,"['Pull one shot of espresso using your espresso maker.', 'Meanwhile, whip your cream and mint syrup (about 1 Tbsp per ¼ cup of cream) together till the soft peak stage.', 'Top espresso with a dollop of mint cream. Dust with cocoa powder.', 'To drink it traditionally, do NOT stir.']"
9,9,Pembe Sultan,"['2 medium beetroots', '1-2 cloves gatlic adjust depending on how much garlic you like', ""6 Tbsp strained yogurt If you're not able to find strained yogurt , you can use a thick Greek yogurt for the whole thing. If your yoghurt is too watery, you can strain it for a couple of hours in a clean cloth."", '2 Tbsp Turkish/Greek yogurt', 'salt to taste', 'dried mint for serving', 'olive oil for serving']","Lunch, Snack","['Peel the beets and boil them until they turn soft enough to grate but make sure they are not as soft as jello. Make sure they cool before you proceed to the next step otherwise the yogurt will turn into curd.', 'You can grate the beets or dice them into tiny pieces. You can also use a food processor to turn the beets into small chunks, make sure the beets do not turn into a mush.', 'Smash the garlic, put it in a bowl with the yogurt, and add salt.', 'Add the beets and mix well.', 'To decorate the dish you can drizzle some olive oil or add dried mint on top.']"
