,URL
1,https://www.beryl.nyc/index.php/wprm_print/donzelle
2,https://www.beryl.nyc/index.php/wprm_print/albaloo-polo
3,https://www.beryl.nyc/index.php/wprm_print/batatinha-em-conserva
5,https://www.beryl.nyc/index.php/wprm_print/macarrao-misturado
8,https://www.beryl.nyc/index.php/wprm_print/macarrones-con-jamonilla
13,https://www.beryl.nyc/index.php/wprm_print/przeni-kupus-sa-kobasicama
14,https://www.beryl.nyc/index.php/wprm_print/caffe-pedrocchi
18,https://www.beryl.nyc/index.php/wprm_print/pembe-sultan
21,https://www.beryl.nyc/index.php/wprm_print/enrollado-de-atun
25,https://www.beryl.nyc/index.php/wprm_print/zhingyalovhats
30,https://www.beryl.nyc/index.php/wprm_print/queso-fundido
33,https://www.beryl.nyc/index.php/wprm_print/baigan-bharta
35,https://www.beryl.nyc/index.php/wprm_print/jia-chang-cai
36,https://www.beryl.nyc/index.php/wprm_print/ca-phe-trung
38,https://www.beryl.nyc/index.php/wprm_print/kare-kare
39,https://www.beryl.nyc/index.php/wprm_print/chilero-nicaraguense
40,https://www.beryl.nyc/index.php/wprm_print/torta-ahogada
46,https://www.beryl.nyc/index.php/wprm_print/sinh-to-sau-rieng
54,https://www.beryl.nyc/index.php/wprm_print/jiang-zhi-zhuang-nai
55,https://www.beryl.nyc/index.php/wprm_print/pate-de-frango
56,https://www.beryl.nyc/index.php/wprm_print/huevos-divorciados
59,https://www.beryl.nyc/index.php/wprm_print/bocadillo-con-queso
62,https://www.beryl.nyc/index.php/wprm_print/gigantes
65,https://www.beryl.nyc/index.php/wprm_print/cevapi
69,https://www.beryl.nyc/index.php/wprm_print/salatat-blankit
70,https://www.beryl.nyc/index.php/wprm_print/durian-cream-puffs
73,https://www.beryl.nyc/index.php/wprm_print/jia-yi-liang-mian
74,https://www.beryl.nyc/index.php/wprm_print/milagai-mandi
79,https://www.beryl.nyc/index.php/wprm_print/papa-rellena
83,https://www.beryl.nyc/index.php/wprm_print/portokalopita
84,https://www.beryl.nyc/index.php/wprm_print/chacarero
